,district,living_space,price,room_count,access_date,bathroom_count,date_added,owner,property_type,link,smoker,title
840,bemowo,47.0,2200,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bez-prowizji-2+pok-%252Bbalkon-gorce-bemowo/10010156860911012776000109,,"Bez prowizji: 2-pok. +balkon | Górce, Bemowo"
137,bemowo,32.0,1800,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/dwa-pokoje-w-centrum-jelonek/10010159136161012433760209,,Dwa pokoje w centrum Jelonek
824,bemowo,87.0,2700,3,,2.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bez-prowizji-3+pok-garaz-w-cenie-fort-bema/10010156965211012776000109,,Bez prowizji: 3-pok. |garaż w cenie| Fort Bema
943,bemowo,31.0,2300,Kawalerka,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/wynajme-kawalerke-z-tarasem-22-m2-za-2300-zl/10010156581371011355524009,,Wynajmę Kawalerkę z Tarasem 22 m2 za 2300 zł
638,bemowo,78.0,3800,3,2021-11-18,2.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/mieszkanie-bemowo-78m2-3-pokoje-balkon/10010157485131012921575809,,"Mieszkanie Bemowo, 78m2, 3 pokoje, balkon"
713,bemowo,45.0,1850,2,2021-11-11,1.0,10/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/dla-pary-przytulne-mieszkanie-45-m2-do-wynajecia-bezposrednio-bemowo/10010131643561011421580609,,Dla pary przytulne mieszkanie 45 m2 do wynajęcia bezpośrednio Bemowo 
148,bemowo,50.0,2300,2,2021-11-16,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/50m-2-pokoje-garaz-ochrona-na-bemowie-2008r/10010159075191010471298109,,"50m 2 pokoje, garaż, ochrona na Bemowie 2008r  "
151,bemowo,50.0,2199,2,2021-12-01,1.0,16/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bezposrednio-2-pok-gorczewska-rog-powstancow-slaskich-50m/10010158622651010485905709,,BEZPOŚREDNIO 2 pok Górczewska róg Powstańców Śląskich 50m
56,bemowo,40.0,1400,Kawalerka,2021-12-01,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bemowo-ul-czluchowska-2d-znana-40m-przestronna-kawalerka-garaz-nowe-budownictwo-p-3-6/10010159476391010573727609,,"Bemowo, ul.Człuchowska 2D/Znana, 40m, przestronna kawalerka, garaż, nowe budownictwo, p.3/6"
653,bemowo,54.0,2500,2,2022-01-01,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bemowo-+-ul-narwik-2-pokoje-garaz/10010156966871010484138609,,"Bemowo - ul. Narwik 2 pokoje, garaż"
178,bemowo,78.0,2300,4,2021-12-01,,16/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/wynajme-mieszkanie-na-bemowie-78-m2/10010158588731010495485609,,wynajmę mieszkanie na  Bemowie 78 m2 
665,bemowo,40.0,1600,Kawalerka,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/1-pokojowe-40m2-ul-swietlikow-nowy-blok-z-2010-roku/10010157142791012413740009,,"1 pokojowe, 40m2, ul. Świetlików / Nowy blok z 2010 roku"
390,bialoleka,67.0,3000,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/salon-z-aneksem-i-2-pokoje-oraz-balkon/10010158506161012710620009,,Salon z aneksem i 2 pokoje oraz balkon
1059,bialoleka,50.0,2100,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/przytulne-dwupokowe-mieszkanie-w-cichej-okolicy/10010155791071012506060109,,Przytulne dwupokowe mieszkanie w cichej okolicy
1057,bialoleka,63.0,2200,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/przestronne-mieszkanie-3-pok-tarchomin-van-gogha/10010155771341012506060109,,"Przestronne mieszkanie 3 pok, Tarchomin, Van Gogha"
356,bialoleka,64.0,2600,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/wygodne-3-pokoje-w-wysokim-standardzie/10010158506251012710620009,,Wygodne 3 pokoje w wysokim standardzie
1056,bialoleka,41.0,1850,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/dwupokojowe-mieszkanie-przy-petli-nowodwory/10010155784351012506060109,,Dwupokojowe mieszkanie przy pętli Nowodwory
331,bialoleka,700.0,28000,6,,4.0,16/11/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/przestronny-dom-w-wygodnej-lokalizacji/10010158517261012710620009,,Przestronny dom w wygodnej lokalizacji
308,bialoleka,76.0,3200,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/trzy-pokoje-z-oddzielna-kuchnia-w-korzystnej-cenie/10010158509751012710620009,,Trzy pokoje z oddzielną kuchnią w korzystnej cenie
182,bialoleka,50.0,2400,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/polecam-mieszkanie-zeran-dobra-komunikacja/10010158845141011334147309,,"Polecam mieszkanie Żerań , dobra komunikacja !"
209,bialoleka,42.0,2200,2,2021-12-01,1.0,15/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/mieszkanie-dwupokojowe-przy-ul-glebockiej-osiedle-lewandow/10010154596281011153579609,,Mieszkanie dwupokojowe przy ul. Głębockiej osiedle Lewandów
1047,bialoleka,38.0,1850,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/nowe-nowoczesne-2-pokoje-winda-garaz-tramwaj/10010155784571012506060109,,"Nowe, nowoczesne 2 pokoje, winda, garaż, tramwaj"
1054,bialoleka,45.0,1800,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/cieple-2+pok-44-5-m2-z-m-post-w-cichej-okolicy/10010155774481012506060109,,"Ciepłe 2-pok. 44, 5 m2 z m. post. w cichej okolicy"
1060,bialoleka,45.0,1900,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/jasne-2-pokoje-osiedle-dabrowka/10010155771261012506060109,,Jasne 2 pokoje osiedle Dąbrówka
1042,bialoleka,40.0,2000,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/mieszkanie-do-wynajecia-skarbka-z-gor/10010155791651012506060109,,Mieszkanie do wynajęcia Skarbka z Gór
1046,bialoleka,38.0,1850,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/nowoczesne-nowe-2-pokoje-winda-garaz-tramwaj/10010155791501012506060109,,"Nowoczesne, nowe 2 pokoje, winda, garaż, tramwaj"
78,bialoleka,67.0,2700,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/lewandow-glebocka-67-m2/10010159382391012765100009,,Lewandów Głębocka 67 m2
147,bialoleka,83.0,3350,4,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/2poziomowe-idealne-do-zdalnej-pracy-bialoleka-83m2/10010159115411012103450109,,2Poziomowe Idealne Do Zdalnej Pracy!Białołęka 83m2
192,bialoleka,40.0,2200,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/atrakcyjne-2-pokoje-na-tarchominie-z-garazem/10010158756631012103450109,,ATRAKCYJNE 2 POKOJE NA TARCHOMINIE Z GARAŻEM
167,bialoleka,65.65578358208955,1000,4,2021-11-16,2.0,28/01/2020,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/warszawa-pogranicze-targowka-i-bialoleki-pokoje-do-wynajecia-od-1000zl/1006773567400912445357609,,Warszawa Pogranicze Targówka i Białołęki pokoje do wynajęcia od 1000zł.
214,bialoleka,47.0,1600,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/mieszkanie-na-tarchominie-na-wynajem/10010158592741011366864809,,Mieszkanie na Tarchominie na wynajem
1051,bialoleka,55.0,2400,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/ladnie-urzadzone-3-pokoje/10010155771461012506060109,,Ładnie urządzone 3 pokoje
109,bialoleka,30.0,1600,Kawalerka,2021-11-16,1.0,16/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/bezposrednio-kawalerka-lewandow-ii-30m-blisko-castoramy-na-targowku/10010159410071010485905709,, BEZPOŚREDNIO kawalerka Lewandów II 30m blisko Castoramy na Targówku
1066,bialoleka,82.0,2700,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/duze-3-pokojowe-mieszkanie-w-sercu-tarchomina/10010155562971012506060109,,Duże 3 pokojowe mieszkanie w sercu Tarchomina
1068,bialoleka,67.0,1900,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/3-pokojowe-mieszkanie-do-wynajecia/10010155653821012506060109,,3 pokojowe mieszkanie do wynajęcia!
18,bialoleka,32.0,1700,Kawalerka,2021-12-01,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/tarchomin-przyjemna-kawalerka-widna-kuchnia-balkon-parking-zielone-osiedle-bmi-mehoffera/10010159503821010662530609,,Tarchomin. Przyjemna kawalerka. Widna kuchnia. Balkon. Parking. Zielone Osiedle BMI Mehoffera
583,bialoleka,50.0,2200,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/ul-mehoffera-3-pokoje-na-malowniczym-osiedlu-z-garazem/10010157510641010469174709,,"ul. Mehoffera, 3 pokoje na malowniczym osiedlu z garażem"
1065,bialoleka,100.0,5000,4,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/mieszkanie-4+pokojowe-na-zielonej-bialolece/10010155771111012506060109,,Mieszkanie 4-pokojowe na Zielonej Białołęce
1064,bialoleka,54.0,1900,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/2-pokoje-z-klimatyzacja-na-biuro/10010155653951012506060109,,2 pokoje z klimatyzacją na biuro
1062,bialoleka,34.0,1700,Kawalerka,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/okazja-kawalerka-w-centrum-tarchomina/10010155653991012506060109,,Okazja!!! Kawalerka w centrum Tarchomina
484,bialoleka,42.0,2200,2,2021-12-01,1.0,15/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/mieszkanie-dwupokojowe-przy-ul-glebockiej-osiedle-lewandow/10010154596281011153579609,,Mieszkanie dwupokojowe przy ul. Głębockiej osiedle Lewandów
960,bialoleka,32.0,1500,Kawalerka,2021-12-01,1.0,03/05/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/wynajme-kawalerka-32m2-widna-kuchnia-garderoba-tarchomin/1009286671790910507378709,,"Wynajmę: kawalerka, 32m2, widna kuchnia, garderoba, Tarchomin"
1069,bialoleka,39.0,1400,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/dwupokojowe-wygodne-mieszkanie-na-nowodworach/10010155653801012506060109,,Dwupokojowe wygodne mieszkanie na Nowodworach
730,bialoleka,38.0,1500,Kawalerka,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/kawalerka-przy-parku-picassa-tarchomin/10010157034931012506060109,,"Kawalerka przy Parku Picassa, Tarchomin"
479,bialoleka,62.0,2800,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/trzy-pokoje-balkon-garaz-w-cenie/10010157916871012710620009,,"Trzy pokoje, balkon, garaż w cenie"
691,bialoleka,30.0,1999,2,2021-11-02,1.0,02/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/nowe-mieszkanie-dwupokojowe-polecam-2-pietro/10010097415771011387286809,,Nowe mieszkanie dwupokojowe Polecam 2 piętro 
828,bialoleka,46.0,2000,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/bez-prowizji-2+pok-%252Bbalkon-nowodwory/10010156963191012776000109,,Bez prowizji: 2-pok. +balkon | Nowodwory
48,bialoleka,65.65578358208955,0,,,,08/11/2021,Właściciel,,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/poszukuje-wspoellokatorki/10010120884541012951726109,,Poszukuję wspœłlokatorki
478,bialoleka,140.0,3700,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/przestronne-4-pokoje-w-zielonej-spokojnej-okolicy/10010157916881012710620009,,"Przestronne 4 pokoje w zielonej, spokojnej okolicy"
477,bialoleka,82.0,2700,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/przestronne-jasne-3-pokoje-z-oddz-kuchnia/10010157809931012710620009,,"Przestronne, jasne 3 pokoje z oddz. kuchnią"
920,bialoleka,130.0,41817,6,,2.0,16/11/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/wyjatkowy-obiekt+inwestycja-1300m2-przy-trasie-s8/10010156801201011378581009,,"Wyjątkowy obiekt-inwestycja, 1300m2 przy trasie S8"
435,bialoleka,60.0,3200,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/salon-z-aneksem-kuchennym-2-pokoje/10010158506071012710620009,,"Salon z aneksem kuchennym, 2 pokoje"
926,bialoleka,28.0,2100,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bialoleka/mieszkanie-2-pokojowe-w-nowoczesnym-stylu/10010156700631011493880209,,Mieszkanie 2 pokojowe w nowoczesnym stylu
903,bielany,47.0,1990,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bez-prowizji-3-osobne-pok-broniewskiego-bielany/10010156860601012776000109,,"Bez prowizji: 3 osobne pok.|Broniewskiego, Bielany"
618,bielany,35.0,1700,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/2-osobne-pokoje-35-m2-bielany-ul-magiera-broniewskiego/10010157208661010469331509,Nie,"2 osobne pokoje, 35 m2 / Bielany, ul. Magiera / Broniewskiego"
168,bielany,68.0,2000,3,2021-11-30,1.0,15/03/2020,,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bielany-broniewskiego-68m2-3-osobne-pokoje-po-remoncie/1007093606870912445357609,,"Bielany/Broniewskiego 68m2, 3 osobne pokoje, po remoncie."
760,bielany,180.0,8900,5,,3.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bez-prowizji-segment-z-ogrodem-mlociny/10010156965671012776000109,,Bez prowizji: Segment z ogrodem | Młociny
685,bielany,36.0,1800,Kawalerka,2021-11-17,1.0,17/09/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/pokoj-z-widna-kuchnia-bielany-1800-zl/1009907549450910468367709,,pokój z widną kuchnią Bielany 1800 zł
140,bielany,48.0,2700,2,2021-11-01,1.0,28/10/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/wynajme-2+pokojowe-mieszkanie-przy-metrze-slodowiec-for-rent-a-fully-furnished-2+bedroom-flat/10010079645911012825115409,,Wynajmę 2-pokojowe mieszkanie przy metrze Słodowiec/For Rent a fully furnished 2-bedroom flat
161,bielany,43.0,1400,2,2021-10-04,1.0,20/06/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bezposrednio-przytulne-mieszkanie-na-poddaszu-+-kochanowskiego-warszawa-bielany/1009509939060910557174709,,"[Bezposrednio] Przytulne mieszkanie na poddaszu - Kochanowskiego, Warszawa Bielany"
156,bielany,56.0,3000,3,2021-11-16,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/56m-3-pokojowe-2-balkony-garaz-ochrona-ul-kasprowicza-119-przy-metrze-mlociny-2013r/10010158450801010471298109,,"56m 3 pokojowe 2 balkony, garaż, ochrona ul Kasprowicza 119 przy metrze Młociny 2013r "
813,bielany,180.0,8900,5,,3.0,16/11/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bez-prowizji-segment-z-ogrodem-mlociny/10010156979021012776000109,,Bez prowizji: Segment z ogrodem | Młociny
882,bielany,49.0,2300,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bez-prowizji-2-osobne-pok-m-wawrzyszew-bielany/10010156959071012776000109,,"Bez prowizji: 2 osobne pok.| M Wawrzyszew, Bielany"
606,bielany,192.0,4000,5,2021-11-16,2.0,18/10/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/dom-190-m2-na-cele-mieszkalne-lub-dzialalnosc-gospodarcza/10010035725831012422087009,,Dom. 190 m2 na cele mieszkalne lub działalność gospodarczą
407,bielany,49.0,3000,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/salon-z-aneksem-i-sypialnia-przy-metrze/10010158476431012710620009,,Salon z aneksem i sypialnia przy metrze
585,bielany,48.0,1900,2,2021-11-19,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/2-pok-48-m2-nowe/10010157553661010471331209,,"2 pok, 48 m2, nowe."
393,bielany,43.0,1400,2,2021-10-04,1.0,20/06/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bielany/bezposrednio-przytulne-mieszkanie-na-poddaszu-+-kochanowskiego-warszawa-bielany/1009509939060910557174709,,"[Bezposrednio] Przytulne mieszkanie na poddaszu - Kochanowskiego, Warszawa Bielany"
